PERIOD_BEGIN;PERIOD;VALOR;INSTR_TYPE;TYPE_OF_SECURITY;GK;DOMICILE;TAX_APPLICABILITY_333;TAX_PARTICULARITY_333;TAX_PECULIARITY_333;DELTA_SIX_CALC;DELTA_3RD_PARTY;NR_871M;DELTA_AT_ISSU_MIN_871M;DELTA_AT_ISSU_MAX_871M;NR_DELTA_AT_ISSU_E100_871M;NR_DELTA_AT_ISSU_G095_871M;NR_DELTA_AT_ISSU_G080_871M;NR_DELTA_AT_ISSU_G075_871M;NR_NON_871M;DELTA_AT_ISSU_MIN_NON_871M;DELTA_AT_ISSU_MAX_NON_871M;NR_DELTA_AT_ISSU_E100_NON_871M;NR_DELTA_AT_ISSU_G095_NON_871M;NR_DELTA_AT_ISSU_G080_NON_871M;NR_DELTA_AT_ISSU_G075_NON_871M;NR_XSD_297
20180605;d;61450007;4;Z;709030;333;34.0;;;-0.39151;;;;;;;;;;;;;;;;
20180605;d;61449980;4;Z;709030;333;34.0;;;0.01765;;;;;;;;;;;;;;;;
20180605;d;60675374;4;Z;709030;333;34.0;;;-0.68023;;;;;;;;;;;;;;;;
20180605;d;61449984;4;Z;709030;333;34.0;;;0.12427;;;;;;;;;;;;;;;;
20180605;d;61449986;4;Z;709030;333;34.0;;;0.01929;;;;;;;;;;;;;;;;
20180605;d;60675393;4;Z;709030;333;34.0;;;0.7184;;;;;;;;;;;;;;;;
20180605;d;60617661;4;Z;709030;333;34.0;;;0.05271;;;;;;;;;;;;;;;;
20180605;d;61450058;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511918;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61511919;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;60617842;4;Z;709030;333;34.0;;;-0.45689;;;;;;;;;;;;;;;;
20180605;d;60617751;4;Z;709030;333;34.0;;;0.23576;;;;;;;;;;;;;;;;
20180605;d;61450123;4;Z;709030;333;34.0;;;-0.02552;;;;;;;;;;;;;;;;
20180605;d;61450024;4;Z;709030;333;34.0;;;0.81362;;;;;;;;;;;;;;;;
20180605;d;61450031;4;Z;709030;333;34.0;;;-0.10549;;;;;;;;;;;;;;;;
